STATE,LGA,COMMUNITY,DATE_OF_OCCURRENCE,PERSONS_AFFECTED,DISPLACED_PERSONS,DATE,YEAR,MONTH,SEASON,SEVERITY_RATIO
Niger,Gurara,Unspecified,2022-01-07 00:00:00,2924,2924,2022-01-07,2022.0,1.0,Dry,1.0
Niger,Katcha,..,2022-01-07 00:00:00,1300,1300,2022-01-07,2022.0,1.0,Dry,1.0
Niger,Kontagora,Unspecified,2022-01-07 00:00:00,2111,2111,2022-01-07,2022.0,1.0,Dry,1.0
Niger,Lapai,Unspecified,2022-01-07 00:00:00,975,975,2022-01-07,2022.0,1.0,Dry,1.0
Niger,Lavun,Unspecified,2022-01-07 00:00:00,1625,1625,2022-01-07,2022.0,1.0,Dry,1.0
Niger,Magama,Unspecified,2022-01-07 00:00:00,2924,2924,2022-01-07,2022.0,1.0,Dry,1.0
Niger,Mariga,Unspecified,2022-01-07 00:00:00,650,650,2022-01-07,2022.0,1.0,Dry,1.0
Niger,Mashegu,.,2022-01-07 00:00:00,975,975,2022-01-07,2022.0,1.0,Dry,1.0
Niger,Mokwa,Unspecified,2022-01-07 00:00:00,1949,1949,2022-01-07,2022.0,1.0,Dry,1.0
Niger,Muya,Unspecified,2022-01-07 00:00:00,975,975,2022-01-07,2022.0,1.0,Dry,1.0
Niger,Paikoro,Unspecified,2022-01-07 00:00:00,2599,2599,2022-01-07,2022.0,1.0,Dry,1.0
Niger,Rafi,Unspecified,2022-01-07 00:00:00,1625,1625,2022-01-07,2022.0,1.0,Dry,1.0
Niger,Shiroro,Unspecified,2022-01-07 00:00:00,812,812,2022-01-07,2022.0,1.0,Dry,1.0
Niger,Wushishi,Unspecified,2022-01-07 00:00:00,1624,1624,2022-01-07,2022.0,1.0,Dry,1.0
Niger,Lavun,"Egagi, Saaci-Nku, Mambe, Nku, Kosso, Kuchita, Fokpo, Kutigi-side, Ndakogitsu, Tsoegi, Tsonfada-gabi",2022-01-09 00:00:00,3540,2459,2022-01-09,2022.0,1.0,Dry,0.6946327683615819
Niger,Southern Ijaw,"Bakun lku. Chaza, Kwamba, Tungan-tsauni, Dawaki",22/09/2022,1016,706,2022-09-22,2022.0,9.0,Rainy,0.6948818897637795
Ogun,Egbado North,Ayetoro,2022-09-03 00:00:00,292,0,2022-09-03,2022.0,9.0,Rainy,0.0
Ogun,Abeokuta South,!sale Oj kuto,2022-12-03 00:00:00,976,0,2022-12-03,2022.0,12.0,Dry,0.0
Ogun,Abeokuta North,"Lafenwa Market,Soyoye Rounder",22/03/2022,230,0,2022-03-22,2022.0,3.0,Rainy,0.0
